Ticker,Name,Market_cap,Total_equity,Book-to-market,Operating_profitability,Investment_ratio
SAP GR Equity,SAP SE,153857870015.68,42848000000.00,0.27849,0.28195,0.01384
IFX GR Equity,INFINEON TECHNOLOGIES AG,49265874893.33,14944000000.00,0.30333,0.72203,0.15334
DBK GR Equity,DEUTSCHE BANK AG-REGISTERED,19657740909.97,72141000000.00,3.66985,0.02192,-0.02005
CBK GR Equity,COMMERZBANK AG,12636288527.06,30933000000.00,2.44795,-0.03773,0.02144
NEM GR Equity,NEMETSCHEK SE,7918680000.00,689223000.00,0.08704,0.77418,0.11742
BC8 GR Equity,BECHTLE AG,4573800000.00,1538319000.00,0.33633,3.46013,0.14177
AIXA GR Equity,AIXTRON SE,3503840760.20,663317000.00,0.18931,0.55856,0.21855
COP GR Equity,COMPUGROUP MEDICAL SE & CO K,2421279994.56,673823000.00,0.27829,0.40058,0.08579
WAF GR Equity,SILTRONIC AG,2095500000.00,2067100000.00,0.98645,0.81622,0.64971
JEN GR Equity,JENOPTIK AG,1796132048.70,843307000.00,0.46951,0.88266,-0.04853
AOF GR Equity,ATOSS SOFTWARE AG,1638346016.00,47590000.00,0.02905,1.30474,0.10910
ELG GR Equity,ELMOS SEMICONDUCTOR SE,1334580000.00,360421000.00,0.27006,0.96842,0.29765
HYQ GR Equity,HYPOPORT SE,1134594276.40,272738000.00,0.24038,0.78956,-0.02040
COK GR Equity,CANCOM SE,1084524615.00,694821000.00,0.64067,1.33221,-0.07218
ADV GR Equity,ADTRAN NETWORKING SE,1026133600.00,369080000.00,0.35968,-0.59715,0.07712
NXU GR Equity,NEXUS AG,963369981.00,238946000.00,0.24803,0.24768,0.39158
PBB GR Equity,DEUTSCHE PFANDBRIEFBANK AG,898967433.98,3424999936.00,3.80993,0.02248,-0.09238
MUM GR Equity,MENSCH UND MASCHINE SOFTWARE,892549809.00,85751000.00,0.09607,2.34685,0.16580
MUB GR Equity,MUEHLBAUER HOLDING AG,881952060.00,224064000.00,0.25405,0.44445,0.19946
ADN1 GR Equity,ADESSO SE,801009456.00,215181000.00,0.26864,3.09096,0.17653
VAR1 GR Equity,VARTA AG,795054235.47,239465000.00,0.30119,1.33955,-0.00155
MDN GR Equity,MEDION AG,658490240.00,424076000.00,0.64401,1.97939,-0.03925
NB2 GR Equity,NORTHERN DATA AG,590743815.75,359407000.00,0.60840,-0.18266,-0.43590
BSL GR Equity,BASLER AG,534870000.00,141486000.00,0.26452,1.18133,0.17449
PSAN GR Equity,PSI SOFTWARE SE,515658473.10,119039000.00,0.23085,1.56252,-0.04056
D6H GR Equity,DATAGROUP SE,475893000.00,127458248.00,0.26783,3.12157,0.04448
SMHN GR Equity,SUESS MICROTEC SE,465463350.30,177730000.00,0.38183,1.24398,0.26506
TPE GR Equity,PVA TEPLA AG,413902271.64,104096000.00,0.25150,1.65237,0.20848
UBK GR Equity,UMWELTBANK AG,389786254.00,256500000.00,0.65805,0.15811,0.00891
IXX GR Equity,INIT INNOVATION IN TRAFFIC S,296180000.00,116555000.00,0.39353,1.15972,0.13300
AEIN GR Equity,ALLGEIER SE,289541118.90,180336000.00,0.62283,2.13981,0.05737
IVU GR Equity,IVU TRAFFIC TECHNOLOGIES AG,267204932.80,74664000.00,0.27943,1.21157,0.11738
S9I GR Equity,STEMMER IMAGING AG,248300000.00,84079000.00,0.33862,1.45158,0.16393
SHF GR Equity,SNP SCHNEIDER-NEUREITHER & P,246685052.00,107183000.00,0.43449,1.17600,-0.00410
OSP2 GR Equity,USU SOFTWARE AG,239941956.00,56954000.00,0.23737,1.31039,-0.02618
DAM GR Equity,DATA MODUL AG,209807829.00,131780000.00,0.62810,1.80879,0.17577
A1OS GR Equity,ALL FOR ONE GROUP SE,207251200.00,97947000.00,0.47260,3.97391,0.28277
BSS GR Equity,BETA SYSTEMS SOFTWARE AG,195960000.00,77615000.00,0.39608,0.66003,0.07936
FEW GR Equity,FUNKWERK AG,192809535.80,81385000.00,0.42210,1.03823,0.20684
M0YN GR Equity,MYNARIC AGNAMENS AKTIEN O N,140879699.00,27793000.00,0.19728,-2.21988,-0.25649
CTNK GR Equity,CENTROTHERM INTERNATIONAL AG,139671708.00,55401000.00,0.39665,2.14103,-0.09935
MBK GR Equity,MERKUR PRIVATBANK KGAA,130550875.00,125304000.00,0.95981,0.33214,0.18837
NFN GR Equity,NFON AG,107978528.48,47801000.00,0.44269,0.68369,-0.16869
CSH GR Equity,CENIT AG,107525690.30,44783000.00,0.41649,2.96827,0.36886
FEV GR Equity,FORTEC ELEKTRONIK AG,91337251.60,49857000.00,0.54586,1.34108,0.10659
SJJ GR Equity,SERVICEWARE SE,87150000.00,49866692.00,0.57219,1.31400,-0.01806
QBY GR Equity,Q.BEYOND AG,82222461.42,115651000.00,1.40656,1.23245,-0.19591
V6C GR Equity,VISCOM AG,81631000.00,60266000.00,0.73827,0.76360,0.17534
KSC GR Equity,KPS AG,80061680.00,71792000.00,0.89671,2.12308,-0.00214
3IT GR Equity,AUDIUS SE,72765000.00,21842000.00,0.30017,1.09582,0.28835
GGS GR Equity,GIGASET AG,70201624.88,24641000.00,0.35100,9.58188,-0.00362
OBS GR Equity,ORBIS AG,67385689.80,37129000.00,0.55099,2.49444,0.11489
N4G GR Equity,NAGA GROUP AG/THE,61224658.77,126062000.00,2.05901,-0.13621,-0.17177
SYT GR Equity,SOFTING AG,58729707.45,61835000.00,1.05287,1.19720,0.06857
M3V GR Equity,MEVIS MEDICAL SOLUTIONS AG,54600000.00,17826020.00,0.32648,0.40462,0.13321
FPH GR Equity,FRANCOTYP-POSTALIA HOLDING A,52164659.20,22552000.00,0.43232,5.49317,0.04243
MBQ GR Equity,MOBOTIX AG,40079754.84,23743000.00,0.59239,0.68214,0.23911
CYR GR Equity,CYAN AG,36637660.48,65799000.00,1.79594,-0.03758,-0.12266
V3S GR Equity,VECTRON SYSTEMS AG,34963616.08,20466000.00,0.58535,0.07725,-0.23474
T3T1 GR Equity,SEVEN PRINCIPLES AG,29976762.90,4625000.00,0.15429,14.72313,-0.00120
ISHA GR Equity,INTERSHOP COMMUNICATIONS AG,29747873.64,13854000.00,0.46571,1.26584,0.04295
LSX GR Equity,LS TELCOM AG,29375850.00,18340000.00,0.62432,0.79711,-0.05806
PGN GR Equity,PARAGON GMBH & CO KGAA,26071292.16,662000.00,0.02539,126.61782,0.08062
NC5A GR Equity,NORCOM INFORMATION TECHNOLOG,24065869.90,3674000.00,0.15266,1.05519,-0.23732
CEK GR Equity,CEOTRONICS AG,22769979.30,15711000.00,0.68999,1.16231,0.19725
CFC GR Equity,UET UNITED ELECTRONIC TECHNO,22707600.00,2511000.00,0.11058,11.78057,0.01017
HYI GR Equity,HYRICAN INFORMATIONSSYSTEME,21340000.00,27080000.00,1.26898,0.77847,-0.10576
P4O GR Equity,PLAN OPTIK AG,20996000.00,9480000.00,0.45151,0.36704,0.06419
TBX0 GR Equity,TICK TRADING SOFTWARE AG,18278040.00,3945644.50,0.21587,1.32616,-0.34995
NIIN GR Equity,NIIIO FINANCE GROUP AG,17172405.60,14671000.00,0.85434,0.03360,-0.05379
AMI GR Equity,MEDONDO HOLDING AG,15481089.52,17173000.00,1.10929,-0.41808,0.11475
UMDK GR Equity,UMT UNITED MOBILITY TECHNOLO,14708579.68,38696000.00,2.63085,-0.27023,-0.18102
TUR GR Equity,TURBON AG,13904490.66,27504000.00,1.97807,1.84929,-0.03128
TR9 GR Equity,OTRS AG,13797360.00,5072000.00,0.36761,1.61244,0.03690
ABX GR Equity,ADVANCED BLOCKCHAIN AG,11849505.92,12540000.00,1.05827,0.31273,0.04594
PLEK GR Equity,PLENUM AG,11457625.50,4855000.00,0.42374,3.74035,-0.08746
DTD2 GR Equity,B+S BANKSYSTEME AG,11364177.39,12820000.00,1.12811,0.54072,-0.06423
R1B GR Equity,RUBEAN AG,10527000.00,5249000.00,0.49862,-0.10932,0.15087
C1V GR Equity,MVISE AG,9246788.46,3438000.00,0.37180,1.26672,-0.10324
RTC GR Equity,REALTECH AG,8401617.12,6159000.00,0.73307,0.85313,-0.30243
CPU2 GR Equity,CPU SOFTWAREHOUSE AG,7696631.64,2077000.00,0.26986,-0.16691,0.00363
MA10 GR Equity,BINECT AG,7138887.30,8680000.00,1.21588,1.14326,0.16262
VRL GR Equity,NET DIGITAL AG,5374995.20,3712000.00,0.69061,1.51479,0.02900
A6T GR Equity,ARTEC TECHNOLOGIES AG,5255030.00,268846000.00,51.15975,-0.00023,72.48629
SHWK GR Equity,SHS VIVEON AG,4209541.57,4226000.00,1.00391,1.21349,-0.17527
PDA GR Equity,PRO DV AG,3676500.00,902944.90,0.24560,3.82532,0.24112
INW GR Equity,GBS SOFTWARE AG,3120000.00,1557000.00,0.49904,-0.34400,-0.24645
VG0K GR Equity,VIVANCO GRUPPE AG,2368754.33,3704000.00,1.56369,7.00999,-0.12932
TCU GR Equity,TC UNTERHALTUNGSELEKTRONIK,357640.64,112091.50,0.31342,-1.37308,-0.10095
